url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_params,has_ip,has_https,suspicious_tld,domain_length,num_subdomains,has_at_symbol,has_double_slash,entropy,label
105,8,3,3,7,9,8,1,1,1,29,2,0,1,4.089484173468289,1
36,1,0,0,1,1,0,0,1,0,11,1,0,0,3.037571595753368,0
40,1,1,0,3,4,2,0,1,1,14,0,0,0,2.3710221526147963,0
159,3,4,1,7,8,7,1,1,0,22,4,0,0,4.658477587603459,1
59,2,0,0,2,3,0,0,0,0,5,1,0,0,2.720068950527713,0
24,1,0,0,2,1,2,0,1,0,16,1,0,0,2.5258813382098957,0
131,8,4,3,9,6,5,1,0,1,37,3,1,1,3.720610221393557,1
194,4,2,4,6,12,6,1,0,0,25,4,0,0,3.693319582865974,1
25,1,0,0,2,3,0,0,1,0,17,1,0,0,2.2584798068024448,0
100,5,6,1,4,16,3,0,0,0,23,5,0,0,4.255125906282285,1
36,1,1,0,1,0,1,0,0,0,19,1,0,0,2.0916169397822957,0
85,3,2,3,7,8,8,1,1,0,37,3,0,1,3.555024804335897,1
164,9,4,3,9,18,4,1,0,1,17,4,0,0,4.065926244656934,1
88,3,2,3,8,14,7,0,1,1,18,3,1,0,3.6303804321311355,1
31,2,0,0,1,3,2,0,1,0,8,1,0,0,2.911332833440359,0
54,2,0,0,1,0,0,0,0,0,11,1,0,0,2.2410220598893336,0
39,1,1,0,3,0,2,0,0,0,9,1,0,0,3.4958833021525915,0
115,6,5,3,6,19,7,1,0,1,39,3,0,0,3.9199686404904264,1
182,8,3,2,6,7,5,1,0,0,28,5,0,0,4.898021513385402,1
52,1,0,0,2,1,1,0,1,0,6,0,0,0,3.02685732181975,0
114,9,6,1,3,13,4,1,1,1,31,2,1,1,3.686445835228317,1
186,4,5,3,5,5,9,1,0,1,25,2,1,1,4.737699015039196,1
14,1,0,0,2,1,1,0,1,0,13,1,0,0,3.2248991592073657,0
49,2,1,0,3,4,1,0,1,0,5,0,0,0,2.5330436777275938,0
11,2,0,0,3,2,1,0,1,0,12,1,0,0,2.208908108995081,0
56,1,0,0,2,2,0,0,0,0,9,0,0,0,3.1159194388590157,0
135,4,3,1,5,14,2,0,0,0,27,5,0,0,4.309790955669255,1
56,2,1,0,1,1,2,0,1,0,8,1,0,0,2.3776985883604294,0
29,1,1,0,2,1,1,0,1,1,12,1,0,0,2.15119190452383,0
56,2,1,0,3,3,0,0,1,0,14,0,0,0,2.8644325402502195,0
186,8,4,1,8,12,2,1,0,0,35,3,1,0,4.8812628239260585,1
49,1,0,0,3,0,0,0,1,0,9,1,0,0,2.500248757536716,0
34,2,0,0,2,1,2,0,1,0,5,1,0,0,2.336907234409973,0
74,9,5,2,7,12,2,1,0,1,32,2,0,1,4.18848348202552,1
167,8,5,3,7,12,2,0,0,0,33,4,1,0,4.202347742662069,1
54,1,1,0,3,1,0,0,1,0,6,1,0,0,2.661144120407342,0
112,6,2,4,7,11,8,1,0,1,16,5,1,1,4.759683289184856,1
38,2,0,0,1,2,2,0,1,0,10,0,0,0,3.199874128059784,0
42,2,0,0,2,2,1,0,1,0,8,1,0,0,3.0021277048559694,0
23,1,0,0,2,1,2,0,1,0,17,0,0,0,2.8745623414545385,0
131,4,2,3,7,8,4,0,0,1,26,5,0,0,4.328070771277971,1
102,6,4,4,4,10,5,0,1,1,28,4,1,0,3.533703962480176,1
58,4,6,1,9,13,7,1,0,0,27,3,0,0,4.871448209840748,1
51,2,0,0,2,1,0,0,1,0,16,0,0,0,2.1598680951930116,0
76,3,7,3,4,16,6,1,0,1,35,5,1,0,4.030807064841874,1
156,3,4,1,6,7,3,0,1,1,18,2,1,1,4.923960195586648,1
56,2,1,0,2,4,0,0,1,0,7,0,0,0,3.262294490465065,0
54,1,1,0,1,1,1,0,0,0,5,0,0,0,2.7432369743092977,0
49,2,0,0,3,2,2,0,0,0,7,1,0,0,2.0078807278375774,0
68,7,5,3,5,5,6,1,1,1,26,3,1,1,4.458424078001393,1
32,1,1,0,2,0,1,0,1,0,14,0,0,0,3.41608900952992,0
41,2,1,0,3,0,2,0,1,0,11,1,0,0,2.1807838681796965,0
18,1,1,0,2,2,2,0,1,0,8,0,0,0,2.682715527554234,0
51,1,0,0,2,2,0,0,0,0,12,1,0,0,3.0871501572931423,0
88,9,2,4,7,10,2,1,0,1,26,3,0,0,4.9855119700126656,1
22,1,1,0,3,2,2,0,0,0,5,0,0,0,2.0563951598093912,0
65,6,2,2,8,13,8,1,1,0,17,2,0,0,3.9444621806839852,1
86,3,2,1,8,19,2,0,0,0,19,2,0,0,4.973495772620122,1
55,2,0,0,2,4,1,0,0,1,15,1,0,0,3.4140976612026885,0
54,2,1,0,3,1,0,0,1,0,7,1,0,0,2.525187888750095,0
56,1,0,0,1,2,1,0,1,0,7,1,0,0,2.73677951130294,0
33,1,1,0,3,4,0,0,1,0,18,0,0,0,2.1372302560966325,0
12,1,1,0,1,0,2,0,1,0,13,0,0,0,2.9828629709585326,0
20,1,1,0,3,2,0,0,0,0,9,1,0,0,2.164203290081681,0
130,4,6,4,8,17,4,1,0,1,27,2,1,0,4.802241206077321,1
146,5,4,4,3,17,4,0,1,0,20,5,0,1,4.807765291617848,1
40,1,1,0,2,2,0,0,1,0,8,1,0,0,3.248201266936613,0
21,1,1,0,1,2,0,0,1,0,6,1,0,0,2.0136086069790875,0
44,2,1,0,3,1,0,0,1,0,16,0,0,0,3.398042158265026,0
31,2,1,0,2,3,2,0,0,0,5,1,0,0,2.7103608326526327,0
169,5,3,2,8,19,6,1,1,1,26,4,0,1,4.057750293858087,1
107,9,3,2,8,6,6,1,0,1,29,4,1,0,4.759920747008708,1
23,2,1,0,3,2,2,0,1,0,16,0,0,0,3.4154238802513985,0
150,5,5,2,5,13,6,1,0,1,29,3,0,0,4.477500238063827,1
67,9,5,4,5,12,5,0,1,1,29,4,1,1,4.439330482447123,1
73,6,3,3,6,18,8,1,0,0,26,5,0,0,4.237391820112156,1
31,2,0,0,1,1,2,0,1,0,9,1,0,0,3.020684939538988,0
159,9,7,4,5,17,2,1,1,0,36,4,0,0,4.97999388990072,1
129,8,7,4,6,5,3,1,1,0,15,2,1,0,4.736771070345251,1
199,9,3,2,9,14,7,1,1,0,26,2,1,0,4.844331954027558,1
15,1,0,0,3,0,1,0,1,1,16,1,0,0,3.175134088912422,0
16,1,1,0,2,1,1,0,1,0,13,1,0,0,3.097384282632998,0
27,2,1,0,3,3,0,0,1,0,7,0,0,0,2.7052738890449977,0
17,1,0,0,1,2,1,0,0,0,9,1,0,0,2.8137179535790513,0
12,2,1,0,3,2,0,0,0,0,5,0,0,0,2.6939344351089742,0
73,6,6,4,6,16,7,1,0,1,23,5,0,0,4.409283070341758,1
43,2,1,0,3,1,2,0,1,1,16,0,0,0,2.934449875345224,0
70,9,2,3,4,12,5,1,0,0,28,3,0,1,4.238416784672053,1
109,7,7,4,9,13,5,1,0,0,39,5,0,1,3.9877850963370425,1
94,9,4,2,5,10,7,1,0,1,23,2,0,0,4.922875032277151,1
29,2,0,0,3,4,2,0,1,0,5,1,0,0,3.2085052294250795,0
160,9,7,4,5,17,5,0,0,1,34,3,0,0,4.178298542425153,1
14,1,0,0,3,3,1,0,1,0,15,0,0,0,2.0260696852782196,0
59,1,0,0,3,2,1,0,1,0,11,1,0,0,2.199071980728916,0
129,4,3,4,9,12,3,0,1,0,20,2,1,0,4.49244852555672,1
35,1,1,0,2,1,1,0,1,0,12,0,0,0,2.0455805895452555,0
138,8,5,1,3,7,8,1,0,1,16,3,0,0,4.799658001291468,1
57,1,0,0,1,4,2,0,1,0,17,1,0,0,2.490549742344858,0
68,8,3,2,7,13,8,1,1,0,36,4,0,0,4.049692302307097,1
24,1,0,0,1,0,0,0,1,0,16,1,0,0,2.1097938856526657,0
17,2,1,0,2,1,1,0,1,0,12,1,0,0,3.270751042058861,0
166,7,3,1,6,9,3,1,0,1,25,5,0,1,4.573236360648911,1
54,1,0,0,3,4,2,0,1,1,19,1,0,0,3.4016540402082716,0
68,4,7,1,6,9,5,1,1,1,22,5,0,1,4.099857810206235,1
13,2,0,0,2,2,2,0,1,0,17,0,0,0,3.063569392583649,0
91,6,5,4,8,11,7,1,0,1,27,4,0,0,4.390307853684721,1
58,9,3,4,4,13,6,1,1,1,19,5,0,1,4.135607380473144,1
138,4,4,4,4,5,8,1,0,1,16,2,0,0,3.5354578790695044,1
44,2,0,0,3,1,0,0,1,0,18,0,0,0,3.481678280322331,0
16,1,1,0,3,1,1,0,1,0,15,0,0,0,2.511635036711331,0
68,6,3,2,4,11,6,0,0,1,17,2,0,0,4.032494458747906,1
62,3,5,2,6,9,5,0,0,1,32,4,0,0,3.999502869587297,1
179,9,5,2,8,5,4,1,0,0,26,3,1,0,4.535007336230999,1
25,2,1,0,2,0,2,0,1,0,16,1,0,0,3.1931749411845938,0
79,7,5,3,8,9,5,1,0,1,35,5,0,0,4.632905630745212,1
25,2,1,0,2,4,1,0,0,0,17,1,0,0,2.571364288266481,0
124,5,5,2,9,14,5,1,0,1,29,3,0,0,4.251729498773015,1
51,2,1,0,1,2,1,0,1,0,10,0,0,0,3.185045654460592,0
63,3,6,3,4,15,3,0,1,1,24,2,0,0,3.970591536791144,1
23,1,1,0,2,4,2,0,1,0,17,0,0,0,2.182642866687912,0
43,2,0,0,3,3,0,0,1,1,16,0,0,0,3.404673760825491,0
195,7,5,3,8,17,4,1,1,0,33,2,1,0,3.5872456932582137,1
59,1,0,0,3,0,2,0,1,0,13,1,0,0,2.4549127213513935,0
16,2,1,0,1,3,2,0,1,0,16,1,0,0,2.2606288934934415,0
173,8,3,3,7,8,8,1,0,0,36,3,0,0,4.945733413223526,1
11,2,0,0,1,4,1,0,1,0,9,0,0,0,2.4852505923672106,0
131,7,6,4,6,5,4,0,1,1,37,2,0,0,3.98701389033509,1
131,5,2,1,6,17,7,1,1,0,31,5,0,1,4.156404686083087,1
42,2,1,0,2,3,0,0,1,0,12,0,0,0,2.6751866486296394,0
24,1,1,0,3,4,2,0,0,1,11,0,0,0,2.0717462305911583,0
136,5,2,1,5,12,4,0,1,1,28,5,0,1,4.492055916605621,1
100,5,3,1,7,18,7,1,0,0,30,5,1,1,3.841763626314665,1
11,1,1,0,3,0,1,0,1,0,13,1,0,0,2.7173829418638857,0
59,2,0,0,3,1,1,0,1,1,16,1,0,0,2.1921436195493,0
26,2,1,0,3,0,0,0,1,0,14,0,0,0,2.245525702197952,0
81,5,7,1,7,7,3,1,1,1,23,4,0,1,4.19080924591121,1
95,8,5,4,5,10,7,1,1,0,32,3,0,1,4.726677994785417,1
24,1,0,0,1,2,0,0,1,0,19,1,0,0,2.847532989288524,0
39,1,1,0,3,0,0,0,0,0,12,0,0,0,3.1125680922693952,0
10,2,1,0,3,1,1,0,1,0,18,0,0,0,2.9224673605116984,0
161,7,2,4,6,10,3,1,0,1,28,2,1,0,3.9903974245071185,1
40,1,1,0,3,4,1,0,1,0,8,1,0,0,3.329293670697612,0
35,1,1,0,1,4,1,0,1,0,13,0,0,0,2.1394859597346985,0
16,2,0,0,2,2,0,0,1,0,8,1,0,0,2.905231499894682,0
131,5,5,4,5,5,8,0,0,0,20,2,1,0,4.160298496933236,1
143,9,2,3,3,6,8,0,0,1,25,2,1,1,4.1318720799411075,1
197,9,4,3,8,19,7,1,1,1,19,2,0,1,3.747941166455262,1
58,2,1,0,2,4,1,0,1,0,9,0,0,0,2.3889451382986606,0
118,7,6,4,3,9,3,1,1,1,21,4,0,0,4.594262342978595,1
90,8,7,4,6,16,2,1,1,1,38,5,0,0,3.9135797796433285,1
37,2,1,0,2,1,0,0,1,0,17,1,0,0,2.050420400274924,0
131,4,4,1,7,8,3,1,0,1,32,5,0,1,4.340252275192763,1
30,2,1,0,2,0,0,0,1,0,7,0,0,0,2.29714644913961,0
98,5,4,1,7,16,2,0,0,1,24,2,1,0,4.28508636706155,1
43,2,1,0,3,0,2,0,1,0,10,1,0,0,2.687450962292985,0
19,1,0,0,2,0,1,0,0,0,7,0,0,0,3.1239255690436645,0
137,9,7,4,5,14,4,0,1,0,21,2,0,0,4.635127258532952,1
192,7,7,4,6,18,4,1,0,1,31,4,0,0,4.015494788913655,1
146,4,5,3,8,11,5,1,0,0,19,4,0,0,3.6410541566513994,1
90,6,6,1,9,13,8,0,1,1,34,3,1,0,4.785768885498129,1
36,2,0,0,2,0,0,0,0,0,16,1,0,0,2.228156424833409,0
159,8,4,4,3,16,4,1,1,1,37,2,0,1,3.7489323429436774,1
108,9,4,1,3,7,2,0,1,0,19,4,0,1,4.728595270792484,1
183,5,5,4,3,15,3,1,0,0,16,3,1,0,3.760642389703616,1
37,2,1,0,2,0,0,0,1,1,7,0,0,0,2.2868906268718803,0
32,2,1,0,2,0,0,0,1,0,15,0,0,0,2.0466733998760365,0
25,2,1,0,3,3,2,0,0,0,16,0,0,0,3.25556168786441,0
12,2,1,0,1,4,2,0,1,0,8,1,0,0,3.3554117665201924,0
48,1,0,0,1,1,2,0,1,0,11,0,0,0,2.1664842038202217,0
95,8,7,4,7,12,7,1,1,0,34,2,0,1,4.877114828298726,1
31,2,0,0,3,2,2,0,1,0,8,0,0,0,3.444215535611039,0
18,1,1,0,3,0,2,0,1,0,10,0,0,0,2.8110477149673656,0
79,3,2,4,6,13,7,1,0,0,23,5,0,1,4.81589264423927,1
55,2,0,0,3,4,1,0,1,0,7,0,0,0,3.4931562742869646,0
198,7,5,1,5,16,2,1,0,0,17,2,0,1,3.5377129374159093,1
56,2,1,0,2,3,1,0,1,0,14,1,0,0,2.6650700215687815,0
70,5,7,4,3,17,4,0,0,0,36,5,0,1,4.925796578879305,1
140,9,2,1,9,10,7,1,0,0,20,3,1,0,4.204462662021063,1
38,1,0,0,3,2,0,0,1,0,17,1,0,0,3.2812039964757567,0
17,1,1,0,1,1,2,0,1,0,18,1,0,0,2.4402332348121822,0
58,7,2,1,3,12,6,1,0,1,27,5,1,1,3.6972336798469723,1
94,3,5,3,6,12,9,1,0,1,15,2,1,1,4.582090176659433,1
36,2,0,0,2,4,2,0,0,0,6,1,0,0,2.1717314570988577,0
176,6,3,1,5,19,5,1,1,1,33,4,1,0,4.469144262507594,1
100,5,6,2,8,6,4,1,1,1,34,3,0,1,3.599665766533662,1
143,4,2,1,8,16,4,1,0,0,19,2,1,0,4.199911677045824,1
87,6,6,2,5,6,5,1,0,0,26,3,0,0,4.36889953073079,1
32,2,0,0,2,2,0,0,0,0,12,0,0,0,2.7675220798722675,0
56,6,6,4,3,5,8,0,0,1,17,4,0,1,4.3939832632752225,1
47,2,0,0,2,3,1,0,1,0,17,1,0,0,2.7283845494890966,0
137,5,4,3,7,8,3,0,0,0,24,4,0,1,4.1877845133228355,1
171,7,6,2,6,9,4,1,1,1,31,2,0,1,4.084222842353631,1
41,2,1,0,1,4,0,0,1,0,10,0,0,0,3.2504749429063784,0
12,2,1,0,1,2,1,0,0,0,16,0,0,0,3.449626078799611,0
13,1,0,0,3,4,2,0,0,0,8,0,0,0,3.173582494190131,0
27,2,1,0,1,1,2,0,1,0,16,0,0,0,2.7133190562302403,0
167,5,4,1,4,15,7,1,1,0,25,4,0,1,3.9136513523770353,1
61,8,2,3,5,14,9,0,1,1,37,3,0,0,4.344067548533509,1
24,1,0,0,1,2,1,0,1,0,15,1,0,0,2.665183754572856,0
56,2,0,0,1,2,2,0,0,0,5,0,0,0,3.2704532813105907,0
121,5,7,3,5,9,6,1,0,1,32,5,1,0,4.808072507670511,1
91,8,6,4,6,6,2,0,0,1,29,4,1,1,4.742703949173675,1
39,1,0,0,1,3,0,0,1,0,17,1,0,0,3.405636542688192,0
177,3,2,4,5,6,8,0,0,0,18,3,0,0,4.323695504415759,1
83,7,6,3,5,10,9,1,0,1,30,3,0,0,4.104309923948955,1
40,2,1,0,3,2,2,0,1,0,15,1,0,0,2.482243551871823,0
48,1,0,0,1,4,0,0,1,0,13,0,0,0,2.1843810176980814,0
32,2,1,0,2,1,1,0,0,0,18,1,0,0,3.0709289487598848,0
102,9,7,2,9,8,6,1,1,1,28,3,0,1,3.581498052234356,1
98,9,2,3,3,14,6,0,0,1,37,5,1,0,3.8702358038028533,1
38,2,0,0,1,0,2,0,1,0,16,1,0,0,3.183398707664011,0
22,1,0,0,2,3,2,0,0,0,14,0,0,0,2.5814732081834704,0
34,2,0,0,2,4,0,0,1,0,12,1,0,0,2.1944009767931627,0
74,8,2,1,6,7,4,1,0,0,30,4,0,0,4.186549407738941,1
154,6,2,1,4,9,6,1,1,0,20,4,1,1,4.694360893344282,1
54,1,1,0,1,3,1,0,1,1,16,0,0,0,3.0232908209399154,0
114,6,6,4,5,7,6,0,0,1,26,4,1,0,4.068641073007904,1
51,8,2,4,8,14,4,1,0,1,36,5,0,0,4.9452488613313825,1
139,8,2,4,9,16,9,1,0,1,36,2,0,0,4.051600476207665,1
15,1,1,0,1,0,0,0,1,0,13,1,0,0,2.8559744358214023,0
92,7,5,1,9,8,8,1,0,1,37,2,0,0,3.7284916784940183,1
147,4,5,1,9,16,8,1,0,1,37,2,0,1,4.466886762113515,1
77,8,2,1,5,14,5,1,1,1,27,4,0,1,4.453932060745593,1
40,2,0,0,3,0,0,0,1,0,10,1,0,0,2.8082195135594286,0
50,2,1,0,2,0,1,0,0,0,15,1,0,0,2.2014122763534134,0
64,7,3,1,8,9,7,0,1,1,24,3,0,0,3.748624669730234,1
17,2,0,0,3,3,0,0,0,1,6,0,0,0,2.5877874446136184,0
119,3,5,3,6,12,9,1,0,0,19,2,1,0,3.8209355580323554,1
183,6,5,3,7,15,6,1,1,1,16,3,1,0,4.215350159701955,1
143,3,4,3,3,15,5,1,1,1,23,2,0,0,4.8892911026476735,1
153,4,4,2,7,15,2,1,1,0,18,2,0,1,4.932270489557702,1
41,1,0,0,3,0,2,0,1,0,7,0,0,0,3.4263928917538227,0
35,2,0,0,2,4,0,0,1,0,8,0,0,0,2.36059836934026,0
158,6,5,3,4,15,4,1,0,1,36,3,0,0,4.147070973161112,1
188,5,6,3,6,14,4,0,0,1,21,3,1,0,4.670548254510322,1
133,9,3,4,7,17,9,0,0,1,28,2,0,0,4.819244856092189,1
12,1,1,0,3,4,1,0,1,0,8,0,0,0,2.77348910878468,0
32,1,1,0,3,4,0,0,1,0,13,0,0,0,2.88564663473404,0
103,8,6,1,4,12,8,0,0,1,33,3,1,1,3.8364402249275678,1
45,1,0,0,1,4,2,0,1,0,9,0,0,0,2.3792204091338007,0
23,1,1,0,3,3,2,0,1,0,10,0,0,0,2.2244021742904287,0
108,9,3,2,5,6,8,1,0,1,36,2,0,1,4.448239248779686,1
30,1,1,0,1,0,2,0,1,0,13,0,0,0,3.2412594798098318,0
64,9,4,2,3,19,8,0,1,0,16,4,0,0,3.8200900219635345,1
101,7,4,1,9,5,5,1,0,1,31,4,0,0,4.080855906767144,1
195,3,4,3,6,7,9,1,1,1,37,5,0,0,4.559289774445038,1
58,2,0,0,1,0,0,0,1,0,17,1,0,0,3.200005222645522,0
28,2,1,0,3,2,1,0,1,0,16,0,0,0,2.474824497901805,0
164,3,6,4,9,18,9,1,1,1,33,3,0,0,3.7803716609126923,1
175,7,4,1,5,16,2,1,0,1,19,3,0,0,3.625879303732144,1
28,2,0,0,3,1,1,0,1,1,17,1,0,0,3.0072187230008103,0
32,2,0,0,3,4,0,0,1,1,13,0,0,0,2.0172209896240667,0
66,4,7,2,7,16,7,1,0,1,31,4,0,0,4.408224003821607,1
138,5,3,4,4,10,7,0,0,0,29,3,0,0,4.543696216483167,1
29,1,0,0,2,4,1,0,1,0,15,1,0,0,2.6760297124083694,0
97,8,2,3,6,15,5,0,0,0,39,3,0,0,4.908585643950781,1
31,2,1,0,2,0,0,0,1,0,8,0,0,0,2.3796523087694132,0
132,3,3,4,3,17,7,0,1,1,31,3,0,0,3.6389382245770507,1
30,1,0,0,3,3,0,0,1,0,7,1,0,0,2.343757926821243,0
50,2,1,0,1,0,0,0,1,0,19,1,0,0,2.3725643905547003,0
55,1,0,0,2,2,0,0,1,0,5,0,0,0,2.8922048220166845,0
97,9,3,2,8,19,4,1,0,1,17,3,0,0,4.981489388511878,1
122,7,7,3,3,11,2,1,1,1,32,5,1,0,4.810584380273338,1
47,2,1,0,2,3,2,0,1,0,6,0,0,0,2.43857466561829,0
22,2,1,0,3,4,2,0,1,1,19,0,0,0,3.1466610921132565,0
170,3,7,2,7,17,6,1,1,1,17,2,1,0,4.708766798926749,1
13,2,1,0,3,1,2,0,1,0,14,1,0,0,3.308953703820253,0
55,2,0,0,1,3,1,0,1,0,11,1,0,0,3.3144791497134674,0
18,2,0,0,1,2,2,0,0,0,14,0,0,0,3.256862562277705,0
25,1,1,0,1,0,0,0,1,0,18,1,0,0,2.344397241130953,0
54,1,0,0,1,1,0,0,1,0,10,1,0,0,2.1253315062660345,0
52,2,1,0,3,1,1,0,1,0,6,0,0,0,2.3178414956601636,0
23,1,0,0,3,2,1,0,1,1,12,0,0,0,2.835317664758144,0
42,2,0,0,3,2,1,0,1,0,17,1,0,0,2.491328247770199,0
10,2,0,0,3,4,0,0,1,1,11,1,0,0,3.470653355405558,0
16,1,0,0,2,0,2,0,1,0,9,0,0,0,2.0271860615685946,0
52,1,0,0,1,2,2,0,1,0,14,1,0,0,3.3223451824111354,0
122,3,6,1,8,13,4,0,0,1,33,4,1,1,4.199464634210255,1
55,2,0,0,2,2,1,0,0,0,16,0,0,0,2.812641446401345,0
128,6,5,1,3,17,3,1,1,1,24,2,0,0,4.593852114370464,1
108,9,7,4,5,16,5,0,0,1,25,3,0,0,3.507970213502519,1
110,9,2,4,3,14,3,1,1,1,34,2,0,0,4.569853802125005,1
16,2,0,0,3,3,1,0,1,1,11,0,0,0,2.8957329589854526,0
139,6,3,1,7,10,7,0,0,1,36,5,0,0,3.86225094198925,1
11,2,1,0,2,3,2,0,0,0,6,1,0,0,2.574198146654582,0
72,4,7,4,3,18,7,1,1,1,15,3,0,0,4.541961438340592,1
36,2,0,0,2,1,2,0,1,0,11,0,0,0,2.2815836085383783,0
150,6,5,1,6,12,2,1,0,1,17,4,0,0,4.500271086958487,1
105,8,4,4,9,17,8,1,1,1,25,2,0,0,3.6423769052325046,1
189,5,6,3,5,17,3,0,0,1,30,2,0,1,4.837566297804119,1
20,2,0,0,1,2,1,0,0,0,6,0,0,0,3.14345393675144,0
148,5,6,1,7,14,4,1,1,1,25,3,1,0,3.8433131937252485,1
32,2,0,0,2,1,2,0,1,0,9,0,0,0,2.6645890434956314,0
181,8,2,2,6,10,2,1,1,1,37,3,0,1,3.7510355483551714,1
32,1,0,0,3,0,0,0,0,0,5,1,0,0,3.215387880049297,0
24,2,1,0,2,1,2,0,1,1,6,1,0,0,3.0280930151690084,0
52,1,1,0,2,3,1,0,1,0,14,1,0,0,3.3224234598169966,0
86,3,7,2,6,10,3,1,0,1,34,5,0,0,4.873508348392475,1
165,9,7,2,5,11,9,1,1,0,35,4,0,1,4.995856849855404,1
86,4,2,3,9,11,2,1,1,0,34,5,0,1,4.725460860907755,1
91,8,6,3,8,15,3,0,0,0,34,3,0,0,3.7512366336411613,1
29,1,0,0,2,0,2,0,1,0,12,0,0,0,2.348758988311747,0
187,9,5,1,6,17,6,0,0,1,32,5,0,1,3.907048945308516,1
179,9,4,4,8,18,6,1,1,0,38,4,0,0,4.813108437682752,1
40,1,1,0,1,1,0,0,1,0,17,0,0,0,2.8614313626353165,0
21,2,0,0,3,1,2,0,0,0,17,0,0,0,3.1477404932251494,0
197,4,4,1,4,17,9,1,0,1,21,2,1,0,3.992349658517509,1
138,8,6,1,3,5,6,1,1,1,28,4,0,1,4.898484137343316,1
41,1,1,0,3,3,0,0,1,0,17,1,0,0,3.2385664273410004,0
145,7,7,4,9,12,7,0,0,1,17,5,0,0,4.767681277244052,1
14,2,1,0,1,0,2,0,1,0,11,0,0,0,2.3948710197770167,0
